Cards,high card,pair,two pair,three of a kind,straight,flush,full house,four of a kind,straight flush
As Ks Js 0s,903,1995,989,195,1167,4047,57,3,644
Kc Jd 0c 7c,2057,4107,1497,266,937,1074,59,1,2
Ah Ks Kh Qs,0,4018,3972,830,402,204,539,35,0
As Jh 8c 6d,2877,5089,1529,248,197,0,57,3,0
8c 7h 7c 6s,0,3548,3834,771,1196,91,532,25,3
0d 8s 7c 6s,1840,3661,1384,269,2696,98,50,2,0
As 8c 7c 6s,2347,4434,1553,311,1100,183,65,2,5
As Ks Qs Js,868,2017,984,169,1145,4071,72,1,673
Jh 0d 8c 4c,2539,4707,1543,270,780,99,60,2,0
As Jh 8c 4d,2873,5069,1522,277,194,0,63,2,0
As Ah Kh 8s,0,4242,4095,848,51,198,534,32,0
As Ah Ks 3d,0,4244,4163,828,74,94,573,23,1
0c 7c 4s 4c,0,3660,3753,803,120,1071,563,26,4
As Qs Js 9c,2185,4288,1506,248,668,1030,44,3,28
8s 7c 6s 6c,0,3530,3863,800,1085,176,515,28,3
As Ah Ks 3c,0,4230,4199,846,72,74,553,24,2
As Ah Kh 4h,0,3642,3945,774,52,1052,506,28,1
As Ah Kh 3d,0,4205,4222,832,64,82,566,29,0
Jh 0d 8c 4h,2538,4680,1537,252,808,111,72,2,0
As Ah Kh Qh,0,3565,3755,720,337,1009,554,32,28
Ac Ks Qs Js,1800,3417,1295,243,2148,956,75,2,64
0h 0c 7c 4c,0,3583,3892,788,122,1082,505,24,4
As Qs Js Jc,0,3483,3673,794,381,1082,536,28,23
Jh 0d 8d 8c,0,3781,4008,793,765,81,541,27,4
As Ks Kd Qs,0,3513,3755,749,345,1002,577,34,25
Kc 0c 9c 7c,1014,2382,1126,223,496,4615,74,0,70
As Ks Qs 9s,1201,2598,1108,190,199,4613,52,5,34
Ah Ad Ks Kh,0,0,7535,0,31,101,2284,48,1
As 0d 8c 7c,2567,4685,1587,250,765,87,54,2,3
As Jh 0d 5c,2786,4785,1525,289,557,0,56,2,0
Qh 0c 7c 4c,2443,4507,1500,283,203,1001,61,0,2
As Ks Qc Js,1757,3431,1332,234,2082,1073,64,4,23
Ah Ks Kh Qc,0,4124,4042,788,402,85,522,37,0
8s 8c 6s 3h,0,4155,4135,879,153,89,549,38,2
As Js Jh 8c,0,4271,4147,847,113,94,508,19,1
Jh 0d 8c 5d,2507,4695,1535,255,832,112,59,5,0
8s 8c 6s 2s,0,3667,3849,763,128,991,559,40,3
